pH,Temprature,Taste,Odor,Fat,Turbidity,Colour,Grade
3.0,52,1,1,1,1,249,low
6.69,43,0,0,0,0,248,medium
6.77,34,0,0,0,0,241,medium
7.27,50,1,0,0,1,245,low
6.72,40,1,1,0,1,255,high
6.71,44,1,0,1,1,250,high
8.17,69,1,1,0,1,253,low
5.76,50,1,0,0,1,252,low
6.55,39,1,1,1,1,255,high
6.5,50,1,0,1,0,246,low
6.57,35,1,0,0,0,249,medium
6.54,38,1,1,1,1,253,high
6.61,40,1,1,1,1,254,high
6.64,38,0,0,0,1,244,medium
3.9,43,0,0,0,1,250,low
6.67,35,0,0,0,0,240,medium
6.63,40,1,1,1,0,249,high
6.52,40,0,0,1,1,253,high
4.09,48,0,0,0,0,246,low
6.69,39,0,1,1,1,248,high
4.72,59,1,1,1,0,250,low
6.72,45,0,1,0,0,240,medium
6.8,38,1,1,1,1,248,high
6.61,44,1,0,0,0,251,medium
6.73,38,1,1,1,1,249,high
8.51,47,0,1,1,1,252,low
6.64,39,1,0,1,1,254,high
4.42,57,1,1,0,1,250,low
6.61,41,1,1,1,1,249,high
6.65,40,1,1,1,0,255,high
6.14,81,1,1,0,1,255,low
8.95,42,0,1,0,0,253,low
4.83,69,0,0,1,1,253,low
6.69,37,1,1,1,0,249,high
6.51,44,1,1,1,1,254,high
4.49,59,1,0,1,1,255,low
4.93,54,1,1,1,0,249,low
6.56,34,0,0,1,0,255,medium
6.51,38,0,0,1,0,246,medium
4.64,63,1,1,1,1,253,low
6.72,34,0,0,1,0,243,medium
6.69,37,0,0,1,0,246,medium
7.28,67,1,0,0,0,253,low
8.01,39,1,0,0,1,248,low
4.7,88,1,0,0,1,251,low
7.05,73,1,1,1,1,253,low
6.46,44,0,0,0,0,242,medium
6.53,42,1,1,1,1,250,high
6.5,40,1,0,0,0,250,medium
6.74,44,0,1,0,0,250,medium
6.77,45,0,1,1,1,249,high
6.77,42,0,0,1,1,249,medium
5.14,59,0,0,1,0,250,low
6.66,35,1,1,1,1,249,high
8.96,59,1,1,1,1,255,low
6.5,45,0,0,0,1,251,medium
6.67,34,0,0,0,0,243,medium
6.53,40,0,0,1,1,245,medium
6.56,43,0,1,1,0,246,medium
6.54,43,0,1,1,1,248,high
6.48,37,0,0,0,0,240,medium
6.53,35,1,1,1,1,249,high
6.58,45,0,0,1,1,241,medium
7.79,74,0,0,1,1,254,low
6.75,40,0,0,1,0,248,medium
6.75,35,0,1,1,1,250,high
7.04,77,0,1,1,1,249,low
6.78,40,0,0,1,0,250,medium
6.74,37,1,1,1,1,253,high
6.44,42,0,0,0,0,254,medium
6.61,44,1,0,1,0,254,high
6.59,42,0,1,1,1,248,high
9.1,51,1,0,1,1,253,low
8.89,52,1,0,1,1,247,low
6.8,45,0,0,0,1,255,medium
6.61,76,0,1,1,1,247,low
8.28,36,1,0,1,1,253,low
6.42,44,1,0,1,1,255,medium
6.67,42,0,0,1,0,250,high
4.22,55,1,1,0,0,250,low
8.45,58,0,1,0,1,254,low
6.62,45,1,0,1,0,250,high
6.74,42,1,1,0,0,246,medium
6.56,44,1,1,0,1,248,high
6.12,56,0,0,1,0,251,low
5.92,72,1,1,1,1,250,low
6.77,57,1,0,1,1,245,low
6.55,42,1,0,0,0,249,medium
6.55,35,0,0,1,0,251,medium
6.41,42,0,0,0,0,244,medium
6.77,42,1,1,1,1,255,high
6.6,43,0,0,1,0,250,medium
4.48,68,1,1,1,1,254,low
6.62,35,1,1,1,1,249,high
6.58,45,1,0,0,0,254,medium
8.11,53,1,1,0,1,248,low
8.11,59,0,1,0,0,250,low
6.41,35,1,0,0,0,245,medium
6.73,40,1,1,1,1,252,high
6.55,34,0,1,1,0,249,medium
6.66,43,1,0,1,1,251,high
6.8,65,1,0,1,0,247,low
6.55,37,0,0,0,0,244,medium
6.57,35,0,0,1,1,250,medium
4.28,66,0,1,0,0,253,low
6.6,40,1,1,1,0,250,high
8.12,56,0,0,1,0,248,low
8.42,66,1,1,1,0,249,low
6.96,64,1,0,0,1,254,low
6.58,42,1,0,1,0,242,medium
6.72,45,1,1,1,1,255,high
6.52,38,0,0,1,0,248,medium
6.73,39,0,0,0,0,241,medium
7.51,48,1,1,0,0,251,low
6.74,41,0,0,0,0,253,medium
6.53,38,1,0,1,0,242,medium
4.13,67,1,1,0,1,255,low
6.58,41,1,1,0,0,252,medium
4.05,77,1,1,1,1,245,low
6.48,40,0,0,0,0,245,medium
5.4,67,0,0,0,1,252,low
6.66,36,0,1,1,0,249,high
6.44,38,0,0,1,0,251,medium
6.54,44,1,0,1,0,240,medium
6.52,35,1,0,1,1,250,high
5.65,46,1,0,1,0,245,low
5.27,75,1,1,1,1,251,low
6.6,38,1,0,1,0,255,high
3.77,43,0,0,0,1,247,low
6.67,39,1,0,1,0,255,medium
6.4,40,1,0,1,0,255,medium
6.7,42,1,0,1,0,249,medium
6.53,35,1,1,1,1,248,high
4.47,57,1,0,1,1,246,low
8.54,37,0,1,1,0,248,low
6.78,40,0,0,1,0,254,medium
7.53,38,1,0,1,1,250,low
4.09,36,0,1,1,1,247,low
6.73,36,0,0,1,0,255,medium
6.74,35,1,1,1,0,248,high
6.59,44,1,0,1,0,249,high
4.7,34,1,1,1,1,249,low
5.87,80,0,1,0,0,251,low
6.54,44,1,0,1,0,245,medium
8.63,66,0,1,0,0,251,low
8.06,83,1,0,1,1,253,low
6.6,45,1,1,1,1,245,high
5.78,55,1,0,1,0,253,low
6.61,41,1,1,1,1,248,high
6.67,41,1,0,1,1,250,high
6.64,41,1,0,1,1,249,high
6.5,38,1,0,1,0,255,medium
6.74,41,0,0,1,1,253,high
6.57,34,1,0,0,0,247,medium
6.72,44,1,1,0,1,254,high
6.72,39,1,0,0,0,242,medium
6.65,34,0,0,1,0,245,medium
6.41,39,0,0,0,1,245,medium
8.92,53,0,0,1,1,254,low
6.67,45,1,1,1,1,252,high
6.6,40,1,0,1,1,255,high
6.5,41,0,1,1,0,255,high
5.75,58,0,1,0,1,254,low
6.66,39,1,0,1,1,248,high
6.59,45,1,1,0,0,245,medium
6.57,40,0,0,1,0,251,high
6.72,40,0,0,0,0,243,medium
4.12,36,1,1,0,0,254,low
6.43,44,1,0,0,0,249,medium
6.63,38,1,1,0,0,248,medium
4.14,56,0,1,1,1,245,low
6.52,40,0,0,0,0,252,medium
6.76,44,1,0,1,1,251,high
6.71,41,1,1,1,1,251,high
6.59,39,0,0,1,1,248,high
9.06,41,0,1,1,0,250,low
6.78,43,1,0,1,0,253,high
6.55,43,1,0,1,1,254,high
6.66,35,0,0,0,0,249,high
6.65,45,1,0,1,1,251,high
7.32,84,0,0,0,1,253,low
6.6,45,0,1,1,1,250,high
7.88,52,1,1,1,1,248,low
8.54,68,0,1,1,1,252,low
6.73,45,1,1,1,1,252,high
6.66,43,1,1,1,1,248,high
6.54,43,1,1,1,1,250,high
